"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rsad1",165.677819028498,-1.4924191694681,0.228860931008796,-6.52107444852933,6.98055238248704e-11,3.40999983884492e-08
"Scarna2",4683.79888925841,-0.304550892042546,0.072712532289785,-4.18842367954954,2.80898743067553e-05,0.00520706534965524
"Sdcbp2",1325.18505190108,-0.329842002890177,0.0929056875984401,-3.55028859283439,0.000384809061288308,0.0456771952095589
"Sema7a",1041.03488084253,-0.385999027369836,0.101089226701521,-3.81839924950211,0.000134320419674455,0.0183441252718844
"She",136.166277078707,-1.08569496105217,0.265396700339792,-4.09083820432633,4.29816919042071e-05,0.00737716849831534
"Slamf1",2092.51655229711,-0.36254345132716,0.0818727040741901,-4.42813579234706,9.50510551544762e-06,0.00185729761771846
"Slc11a2",1290.48491649343,-0.359679658964765,0.0937779305635253,-3.83544035151338,0.000125339523825431,0.0173036662185522
"Slfn8",140.564365421079,-0.980460025893826,0.248937491412054,-3.93857920047455,8.19655384590903e-05,0.0122293622258542
"Socs1",2851.81141399211,-0.348241655284508,0.0776845218041687,-4.48276757321585,7.36811676698748e-06,0.00148543573107156
"Socs2",852.738800997207,-0.656490945909344,0.109539268030269,-5.99320186919575,2.05749183508756e-09,8.71073459914903e-07
"Tgm1",226.306802966281,-0.824645987445334,0.196415878804858,-4.19846904671405,2.68725576107961e-05,0.00509415454051823
"Tgm2",17050.6311351916,-0.34276943955525,0.0642278042641871,-5.33677654844532,9.461352069657e-08,3.00421581591784e-05
"Thra",622.693480265804,-1.0026546149353,0.127828852430478,-7.84372695108568,4.37367569843384e-15,4.27308115736986e-12
"Timp1",1940.97278988746,-0.45458947215725,0.0856312279348189,-5.30868799993474,1.10417156500642e-07,3.42050806027965e-05
"Ubtd1",658.532014713535,-0.433070272131437,0.121534417821525,-3.56335497297077,0.000366145020158414,0.0442895990574478
"Wfikkn2",33.2545936142893,-2.11620312143908,0.550377660945023,-3.84500184437984,0.000120551531789217,0.0171658668782652
"Xist",2179.65878242058,-11.4551817642219,0.836570068118894,-13.6930332565925,1.11745238657994e-42,7.0963813809759e-39
"Yap1",180.812247602821,-1.33333532709555,0.234162270677689,-5.69406558638477,1.24049396200918e-08,4.50157537470816e-06
"Znrf2",2971.64125026139,-0.431433195578974,0.0799072940406506,-5.39917163706601,6.69493001311107e-08,2.23769226569799e-05
