"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Kdm6a",1471.26035854381,-0.696619844203412,0.0961525605650858,-7.24494324549859,4.32620325332616e-13,2.74735537602478e-10
"Lbp",662.798787337914,-0.492568485165664,0.121145252013671,-4.06593305951503,4.78406674971138e-05,0.0079950568142216
"Lipe",1305.30731573602,-0.35572519915675,0.0932439522559645,-3.81499486615761,0.000136185764786565,0.0184010148782358
"Lta",9002.91947466133,-0.49556011819991,0.0632986959526067,-7.82891512600746,4.92097691636708e-15,4.46438055819845e-12
"Me2",8694.03803121508,-0.240628841352648,0.0618782511827474,-3.88874663962285,0.000100763238643424,0.0145431124319332
"Mmd",747.286446605019,0.453522795735515,0.120922281964179,3.7505312368308,0.000176460319696832,0.0233460679215569
"Msi2",3958.59193544073,0.367407321299641,0.076720618411777,4.78889937158331,1.67698542632576e-06,0.000401875318863462
"Mtmr7",319.901292171437,0.856979443611654,0.165267915210264,5.18539513565807,2.15557349426245e-07,6.36696254665752e-05
"Myb",604.924420507893,-0.571867619374691,0.125970526389067,-4.53969381384058,5.63359759126614e-06,0.00119253871677785
"Ncf1",2200.54579879174,-0.389584393369665,0.0796454084117443,-4.89148591411099,1.00077556922363e-06,0.000254217010094187
"Nebl",370.256158211067,0.562330036408324,0.154116713995114,3.64872843334924,0.000263541506200981,0.0338105118207945
"Nme1",1260.46381365738,0.349123438457279,0.0978352945364513,3.56848149853735,0.000359056203130106,0.0438497388072642
"Nos2",1124.03625298737,-0.47677978626116,0.120300983755847,-3.963224334298,7.39442368469802e-05,0.0113152500264277
"PISD",2822.36120229002,-0.493078720580024,0.0841239517806553,-5.86133568553314,4.59158688040498e-09,1.76720439297041e-06
"Pbdc1",1131.20682161013,-0.388877315881135,0.0987968938369292,-3.9361289690241,8.28064838535124e-05,0.0122293622258542
"Pctp",209.718463679953,1.05218590315279,0.200063971257756,5.25924731243681,1.44646244158758e-07,4.37417130252473e-05
"Pcx",1078.12738024592,-0.416197405560859,0.0994840613398328,-4.18355865206536,2.86981005019972e-05,0.00520706534965524
"Pim1",6231.66015861586,-0.276655355708501,0.0664252163869432,-4.16491463267376,3.11469086442967e-05,0.00557178713649595
"Rcn1",354.691646395853,-0.705886025152896,0.15858959304204,-4.45102362401407,8.5461938557981e-06,0.00169601887753893
"Rdm1",419.202972889894,-0.74211357709361,0.148589652041149,-4.99438262960664,5.90242740053741e-07,0.000164085481994718
"Rgcc",4210.47269202625,-0.243262527485555,0.0676609998211257,-3.59531381635897,0.000324000777090025,0.0403444497041216
"Rnf157",2098.34968693708,0.382656426051227,0.0839493946178603,4.55817969615014,5.15988816639363e-06,0.00111077524748077
"Rnu3a",967.983882383622,-0.521413925537496,0.111163830528942,-4.69049980606545,2.72538487421161e-06,0.000618127022988601
"Rsad1",165.677819028498,-1.4924191694681,0.228860931008796,-6.52107444852933,6.98055238248704e-11,3.40999983884492e-08
"Scarna2",4683.79888925841,-0.304550892042546,0.072712532289785,-4.18842367954954,2.80898743067553e-05,0.00520706534965524
"Sdcbp2",1325.18505190108,-0.329842002890177,0.0929056875984401,-3.55028859283439,0.000384809061288308,0.0456771952095589
"Sema7a",1041.03488084253,-0.385999027369836,0.101089226701521,-3.81839924950211,0.000134320419674455,0.0183441252718844
"She",136.166277078707,-1.08569496105217,0.265396700339792,-4.09083820432633,4.29816919042071e-05,0.00737716849831534
"Slamf1",2092.51655229711,-0.36254345132716,0.0818727040741901,-4.42813579234706,9.50510551544762e-06,0.00185729761771846
"Slc11a2",1290.48491649343,-0.359679658964765,0.0937779305635253,-3.83544035151338,0.000125339523825431,0.0173036662185522
"Slc43a2",1897.27611235172,0.589949192382201,0.0833567453908614,7.07740195008715,1.46882044717312e-12,7.77312020814409e-10
