"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","ensembl"
"Mir3097",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"100526557","ENSMUSG00000093097"
"Mir6947",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"102466209","ENSMUSG00000104926"
"Muc3",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"666339","ENSMUSG00000037390"
"Myh13",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"544791","ENSMUSG00000060180"
"Nap1l5",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"58243","ENSMUSG00000055430"
"Olfr1444",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"258697","ENSMUSG00000046272"
"Olfr221",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"258420","ENSMUSG00000044286"
"Ppp1r27",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"68701","ENSMUSG00000025129"
"Prelp",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"116847","ENSMUSG00000041577"
"Prr33",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"677289","ENSMUSG00000043795"
"Rab40b",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"217371","ENSMUSG00000025170"
"Rad51ap2",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"209550","ENSMUSG00000086022"
"Shc3",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"20418","ENSMUSG00000021448"
"Slc22a18",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"18400","ENSMUSG00000000154"
"Slc24a5",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"317750","ENSMUSG00000035183"
"Slc26a3",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"13487","ENSMUSG00000001225"
"Slc27a2",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"26458","ENSMUSG00000027359"
"Slpi",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"20568","ENSMUSG00000017002"
"Trim55",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"381485","ENSMUSG00000060913"
"Tssk1",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"22114","ENSMUSG00000041566"
"Upk3bl",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"69665","ENSMUSG00000006143"
"Vstm4",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"320736","ENSMUSG00000050666"
"Xcl1",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"16963","ENSMUSG00000026573"
"Cpt2",597.745494112304,0.0824535884893484,0.133079098506365,0.619583311089266,0.535532156981946,0.999813356907188,"12896","ENSMUSG00000028607"
"2610507B11Rik",9878.44282196965,-0.0397852368663444,0.0642133361661401,-0.619579035161909,0.535534972846214,0.999813356907188,"72503","ENSMUSG00000010277"
